"","athlete_full_name","discipline_title","event_title","slug_game","participant_type","medal_type","athletes","rank_equal","rank_position","country_name","country_code","country_3_letter_code","athlete_url.x","value_unit","value_type","athlete_url.y","games_participations","first_game","athlete_year_birth","athlete_medals","first_olympic_year","age","male_female","gold","silver","bronze"
"1","Aage Storhaug","Gymnastics Artistic","individual all-round men","tokyo-1964","Athlete","","","True","32","Norway","NO","NOR","https://olympics.com/en/athletes/aage-storhaug","111.20","POINTS","https://olympics.com/en/athletes/aage-storhaug",2,"Rome 1960",1938,"",1960,22,"male",0,0,0
"2","Aage Storhaug","Gymnastics Artistic","individual all-round men","rome-1960","Athlete","","","True","42","Norway","NO","NOR","https://olympics.com/en/athletes/aage-storhaug","109.60","POINTS","https://olympics.com/en/athletes/aage-storhaug",2,"Rome 1960",1938,"",1960,22,"male",0,0,0
"3","Aagje Vanwalleghem","Gymnastics Artistic","individual all-round women","athens-2004","Athlete","","","","23","Belgium","BE","BEL","https://olympics.com/en/athletes/aagje-vanwalleghem","34.862","POINTS","https://olympics.com/en/athletes/aagje-vanwalleghem",1,"Athens 2004",1987,"",2004,17,"female",0,0,0
"4","Aarne Roine","Gymnastics Artistic","parallel bars men","paris-1924","Athlete","","","","63","Finland","FI","FIN","https://olympics.com/en/athletes/aarne-roine","15.62","POINTS","https://olympics.com/en/athletes/aarne-roine",1,"Paris 1924",1893,"",1924,31,"male",0,0,0
"5","Aarne Roine","Gymnastics Artistic","horizontal bar men","paris-1924","Athlete","","","","49","Finland","FI","FIN","https://olympics.com/en/athletes/aarne-roine","13.280","POINTS","https://olympics.com/en/athletes/aarne-roine",1,"Paris 1924",1893,"",1924,31,"male",0,0,0
"6","Aarne Roine","Gymnastics Artistic","individual all-round men","paris-1924","Athlete","","","","59","Finland","FI","FIN","https://olympics.com/en/athletes/aarne-roine","65.460","POINTS","https://olympics.com/en/athletes/aarne-roine",1,"Paris 1924",1893,"",1924,31,"male",0,0,0
"7","Aarne Roine","Gymnastics Artistic","vault men","paris-1924","Athlete","","","","38","Finland","FI","FIN","https://olympics.com/en/athletes/aarne-roine","7.170","POINTS","https://olympics.com/en/athletes/aarne-roine",1,"Paris 1924",1893,"",1924,31,"male",0,0,0
"8","Aarne Roine","Gymnastics Artistic","rope climbing men","paris-1924","Athlete","","","True","63","Finland","FI","FIN","https://olympics.com/en/athletes/aarne-roine","12600","TIME","https://olympics.com/en/athletes/aarne-roine",1,"Paris 1924",1893,"",1924,31,"male",0,0,0
"9","Aarne Roine","Gymnastics Artistic","pommel horse men","paris-1924","Athlete","","","","59","Finland","FI","FIN","https://olympics.com/en/athletes/aarne-roine","9.130","POINTS","https://olympics.com/en/athletes/aarne-roine",1,"Paris 1924",1893,"",1924,31,"male",0,0,0
"10","Aarne Roine","Gymnastics Artistic","Sidehorse vault men","paris-1924","Athlete","","","","66","Finland","FI","FIN","https://olympics.com/en/athletes/aarne-roine","7.430","POINTS","https://olympics.com/en/athletes/aarne-roine",1,"Paris 1924",1893,"",1924,31,"male",0,0,0
"11","Aarne Roine","Gymnastics Artistic","rings men","paris-1924","Athlete","","","","59","Finland","FI","FIN","https://olympics.com/en/athletes/aarne-roine","12.830","POINTS","https://olympics.com/en/athletes/aarne-roine",1,"Paris 1924",1893,"",1924,31,"male",0,0,0
"12","Abdel Vares Sharraf","Gymnastics Artistic","individual all-round men","rome-1960","Athlete","","","","101","United Arab Republic","","UAR","https://olympics.com/en/athletes/abdel-vares-sharraf","101.50","POINTS","https://olympics.com/en/athletes/abdel-vares-sharraf",1,"Rome 1960",1933,"",1960,27,"male",0,0,0
"13","Abdesselem Regragui","Gymnastics Artistic","individual all-round men","rome-1960","Athlete","","","","126","Morocco","MA","MAR","https://olympics.com/en/athletes/abdesselem-regragui","62.50","POINTS","https://olympics.com/en/athletes/abdesselem-regragui",1,"Rome 1960",1938,"",1960,22,"male",0,0,0
"14","Abel Driggs Santos","Gymnastics Artistic","individual all-round men","athens-2004","Athlete","","","","28","Cuba","CU","CUB","https://olympics.com/en/athletes/abel-driggs-santos","","","https://olympics.com/en/athletes/abel-driggs-santos",1,"Athens 2004",1975,"",2004,29,"male",0,0,0
"15","Abraham Israel Grossfeld","Gymnastics Artistic","vault men","melbourne-1956","Athlete","","","True","47","United States of America","US","USA","https://olympics.com/en/athletes/abraham-israel-grossfeld","17.95","POINTS","https://olympics.com/en/athletes/abraham-israel-grossfeld",2,"Melbourne 1956",1934,"",1956,22,"male",0,0,0
"16","Abraham Israel Grossfeld","Gymnastics Artistic","rings men","melbourne-1956","Athlete","","","True","34","United States of America","US","USA","https://olympics.com/en/athletes/abraham-israel-grossfeld","17.50","POINTS","https://olympics.com/en/athletes/abraham-israel-grossfeld",2,"Melbourne 1956",1934,"",1956,22,"male",0,0,0
"17","Abraham Israel Grossfeld","Gymnastics Artistic","individual all-round men","melbourne-1956","Athlete","","","","39","United States of America","US","USA","https://olympics.com/en/athletes/abraham-israel-grossfeld","107.75","POINTS","https://olympics.com/en/athletes/abraham-israel-grossfeld",2,"Melbourne 1956",1934,"",1956,22,"male",0,0,0
"18","Abraham Israel Grossfeld","Gymnastics Artistic","parallel bars men","melbourne-1956","Athlete","","","True","43","United States of America","US","USA","https://olympics.com/en/athletes/abraham-israel-grossfeld","17.85","POINTS","https://olympics.com/en/athletes/abraham-israel-grossfeld",2,"Melbourne 1956",1934,"",1956,22,"male",0,0,0
"19","Abraham Israel Grossfeld","Gymnastics Artistic","floor exercises men","melbourne-1956","Athlete","","","True","23","United States of America","US","USA","https://olympics.com/en/athletes/abraham-israel-grossfeld","18.40","POINTS","https://olympics.com/en/athletes/abraham-israel-grossfeld",2,"Melbourne 1956",1934,"",1956,22,"male",0,0,0
"20","Abraham Israel Grossfeld","Gymnastics Artistic","pommel horse men","melbourne-1956","Athlete","","","True","51","United States of America","US","USA","https://olympics.com/en/athletes/abraham-israel-grossfeld","17.30","POINTS","https://olympics.com/en/athletes/abraham-israel-grossfeld",2,"Melbourne 1956",1934,"",1956,22,"male",0,0,0
"21","Abraham Israel Grossfeld","Gymnastics Artistic","individual all-round men","rome-1960","Athlete","","","","36","United States of America","US","USA","https://olympics.com/en/athletes/abraham-israel-grossfeld","110.05","POINTS","https://olympics.com/en/athletes/abraham-israel-grossfeld",2,"Melbourne 1956",1934,"",1956,22,"male",0,0,0
"22","Abraham Israel Grossfeld","Gymnastics Artistic","horizontal bar men","melbourne-1956","Athlete","","","True","13","United States of America","US","USA","https://olympics.com/en/athletes/abraham-israel-grossfeld","18.75","POINTS","https://olympics.com/en/athletes/abraham-israel-grossfeld",2,"Melbourne 1956",1934,"",1956,22,"male",0,0,0
"23","Ada Smolnikar","Gymnastics Artistic","balance beam women","helsinki-1952","Athlete","","","True","88","Yugoslavia","YUCS","YUG","https://olympics.com/en/athletes/ada-smolnikar","16.83","POINTS","https://olympics.com/en/athletes/ada-smolnikar",1,"Helsinki 1952",1934,"",1952,18,"female",0,0,0
"24","Ada Smolnikar","Gymnastics Artistic","uneven bars women","helsinki-1952","Athlete","","","","115","Yugoslavia","YUCS","YUG","https://olympics.com/en/athletes/ada-smolnikar","15.49","POINTS","https://olympics.com/en/athletes/ada-smolnikar",1,"Helsinki 1952",1934,"",1952,18,"female",0,0,0
"25","Ada Smolnikar","Gymnastics Artistic","individual all-round women","helsinki-1952","Athlete","","","True","92","Yugoslavia","YUCS","YUG","https://olympics.com/en/athletes/ada-smolnikar","66.91","POINTS","https://olympics.com/en/athletes/ada-smolnikar",1,"Helsinki 1952",1934,"",1952,18,"female",0,0,0
"26","Ada Smolnikar","Gymnastics Artistic","vault women","helsinki-1952","Athlete","","","True","86","Yugoslavia","YUCS","YUG","https://olympics.com/en/athletes/ada-smolnikar","17.36","POINTS","https://olympics.com/en/athletes/ada-smolnikar",1,"Helsinki 1952",1934,"",1952,18,"female",0,0,0
